Feature,KS Statistic,KS p-value,Jensen-Shannon Distance,Wasserstein Distance
node1_node1.AnonPages,0.33900105125191665,1.1353483827321424e-47,0.28545976819911734,0.6069231701322321
node1_node1.MemAvailable,0.33871239079679527,1.3732263101797967e-47,0.28546319117554586,0.606920005948201
node1_node1.branch-misses,0.2941171213992474,9.353478897637952e-36,0.20937655672796296,0.24741032338825827
node2_node2.branch-misses,0.29671572358852955,2.1450476152910155e-36,0.20674015776211951,0.24570941528058465
node1_node1.MemFree,0.33871239079679527,1.3732263101797967e-47,0.28550543417753577,0.6069200986166013
node0_node0.Active-anon,0.3389850145599655,1.147415776070859e-47,0.2872012424760672,0.6067805084124634
node0_node0.AnonPages,0.3389369044841119,1.1843890260787382e-47,0.28724437771155087,0.606784197859848
node0_node0.MemAvailable,0.3394070947502833,8.685379113542091e-48,0.2872299527726428,0.6067709767876358
node2_node2.MemFree,0.33889142678101924,1.2204283760590596e-47,0.2857987795933301,0.6067895779166143
node0_node0.branch-misses,0.29536285717185284,4.625403231571771e-36,0.21532526001160146,0.25054920770119576
node1_node1.instructions,0.3088054150401518,1.8857552967661766e-39,0.28623807356799974,0.5881659942500537
node1_node1.Active-anon,0.3390651980197214,1.0883285829079783e-47,0.28573645246387713,0.6069200535422212
node2_node2.MemAvailable,0.3388433167051657,1.259741997683791e-47,0.28576331229347224,0.6067897452149635
node2_node2.Active,0.3386322073370394,1.4476921445205617e-47,0.28669939975503717,0.6068136389533573
node2_node2.instructions,0.30864504812064,2.0744063192675534e-39,0.28453327979366294,0.5883160564052382
node0_node0.instructions,0.3100883503962466,8.777480692577485e-40,0.28552796632436744,0.5892277753642023
node2_node2.AnonPages,0.3386482440289906,1.432484338180372e-47,0.28669353341328685,0.6068160998780829
node1_node1.cache-misses,0.3063435230520173,8.101815315344934e-39,0.29641834586412186,0.5246174861657203
node0_node0.socket0.temp,0.29219140217872486,2.760409933430376e-35,0.27403780541925954,0.6330477501333586
node2_node2.socket1.temp,0.14429372070684343,8.039150660537481e-09,0.17662372416215677,0.49104671793509097
node1_node1.socket1.temp,0.14077707851720245,2.0430237213534688e-08,0.16775530247216536,0.4986231210780179
node1_node1.Active,0.3390651980197214,1.0883285829079783e-47,0.28577877942635277,0.606920928020489
node2_node2.cache-misses,0.3062973872557344,8.32518131141308e-39,0.29331162900253793,0.5274809295688985
node0_node0.MemFree,0.33942313144223446,8.593908449761824e-48,0.28724522874919084,0.6067712382361894
node0_node0.Active,0.3389850145599655,1.147415776070859e-47,0.28721291108267927,0.6067814239922418
node2_node2.Active-anon,0.3386322073370394,1.4476921445205617e-47,0.28650080920341664,0.6068127778372482
node0_node0.cache-misses,0.30853989175613933,2.2081754391291625e-39,0.2873374322771685,0.5233149975132163
node2_node2.cache-references,0.3018127592562453,1.1461837564366004e-37,0.3055735073113338,0.6386078630506827
node1_node1.PageTables,0.3328788449397707,6.172541728365302e-46,0.2855119470691023,0.6012394563764156
node2_node2.PageTables,0.3268477325797451,2.9216615007222915e-44,0.274047298540844,0.6008136161846566
node1_node1.socket0.temp,0.2961524650906674,2.9551362174805077e-36,0.2830393964415567,0.6392717878023899
node0_node0.socket1.temp,0.1445741030423613,7.45550855382049e-09,0.1847875065628259,0.48038347961991545
node0_node0.col-user,0.3116759828994138,3.3906973929616353e-40,0.30644460089032,0.5734330463088948
node2_node2.socket0.temp,0.2945597063879132,7.28585846316915e-36,0.2832516481761516,0.6405789554841657
node1_node1.cache-references,0.30187690602405004,1.1043161264282314e-37,0.29797675077076935,0.6315884415859496
node0_node0.col-idle,0.3074743696082035,4.153968253719245e-39,0.3069135132723931,0.5819431926660222
node0_node0.procs-running,0.2972775273540764,1.557290815194012e-36,0.2780463771279435,0.5745569185888478
node0_node0.PageTables,0.3249489605435379,9.68276949741452e-44,0.29269801380282257,0.6042872286062733
node2_node2.col-idle,0.3069772321577168,5.573755215055463e-39,0.3015471471567113,0.5849776074785443
node0_node0.cache-references,0.30208538301941534,9.784640199668409e-38,0.29761949708737145,0.6304633513324589
node1_node1.branch-instructions,0.31203391632192684,2.7342621125016507e-40,0.2751514786449579,0.4696396764641333
node0_node0.col-system,0.26378200406763935,9.754664187445184e-29,0.15819020279993196,0.35784876535613064
node2_node2.procs-running,0.300406656564128,2.5856024683569705e-37,0.2783476946068856,0.5705615599681277
node1_node1.procs-running,0.29933154011020846,4.80277275893743e-37,0.2726495305555961,0.5698814740830402
node0_node0.branch-instructions,0.31188892800117596,2.983374086967072e-40,0.29410254352339016,0.47512414013199805
node1_node1.col-idle,0.3068489386221074,6.012597504148917e-39,0.2912824009014192,0.5843363679781621
node2_node2.col-system,0.27737204408351535,8.839638112308745e-32,0.1501138539444898,0.36210766854602344
node1_node1.col-user,0.31045719431112384,7.040567556780296e-40,0.30200356674382095,0.5753880837281403
node2_node2.col-user,0.3110184785294152,5.030872418470679e-40,0.3048464161476942,0.5770290769473538
node1_node1.col-system,0.2682869983195417,9.969156646218397e-30,0.14971573527196505,0.34949007883461325
