Feature,KS Statistic,KS p-value,Jensen-Shannon Distance,Wasserstein Distance
node8_node8.Active-anon,0.3300216661128216,6.366558346991371e-49,0.2753770580750297,0.5154039226369852
node8_node8.AnonPages,0.3280496312341962,2.4911441995442438e-48,0.275092285653841,0.5149274456399858
node12_node12.Active,0.3301018495725775,6.021856565534655e-49,0.27695944713940174,0.5159984501123248
node7_node7.branch-misses,0.28888375728916266,2.2832346218512252e-37,0.21426840508327277,0.28079492626062824
node1_node1.MemAvailable,0.3306631337908689,4.076877480984117e-49,0.27450639528232273,0.5163884983110345
node3_node3.Active-anon,0.3306150237150154,4.215609887481624e-49,0.2749037783959305,0.5164433904769875
node0_node0.Active-anon,0.3303584366437965,5.038819377234547e-49,0.27555148639337507,0.5164734365265343
node2_node2.MemAvailable,0.33115357600217127,2.8976393958431856e-49,0.27541037038714167,0.5162859815473173
node6_node6.branch-misses,0.28916907012469184,1.923831149411368e-37,0.22555758556130273,0.2876649643908989
node13_node13.branch-misses,0.286978738566564,7.131364325973049e-37,0.21345185058606325,0.2799318286465007
node9_node9.branch-misses,0.2862994587281705,1.0682852538419773e-36,0.2067577990345593,0.27672103544140914
node11_node11.branch-misses,0.29162077106774176,4.382405809476409e-38,0.21067086459702963,0.27978238995964616
node3_node3.Active,0.3306150237150154,4.215609887481624e-49,0.2748562040544044,0.5164471998542429
node0_node0.MemAvailable,0.330149959648431,5.824017728163244e-49,0.2756051075949093,0.5164082683731659
node12_node12.branch-misses,0.2803828758609241,3.455250655313465e-35,0.2049753201714286,0.27462716468493953
node12_node12.AnonPages,0.3281458513859034,2.3312082130126956e-48,0.2765057786731077,0.5154834307475427
node0_node0.AnonPages,0.3286269521444389,1.672443781871569e-48,0.2751890362555071,0.5156079922662564
node2_node2.branch-misses,0.2807620176913087,2.7717122896922773e-35,0.2118002838121081,0.2822578612637998
node5_node5.Active-anon,0.33072728055867373,3.898944042956741e-49,0.27498873738698676,0.5161318083352944
node11_node11.Active,0.3304706934874547,4.660629629625964e-49,0.27471516147237324,0.5162097702193176
node8_node8.MemFree,0.3305027668713571,4.557860668527017e-49,0.2757267367348384,0.5153281048265739
node1_node1.MemFree,0.3306631337908689,4.076877480984117e-49,0.2744289442301268,0.5163903784895668
node7_node7.Active,0.3300537394967239,6.226382244555275e-49,0.27498165305557043,0.5168699688002985
node11_node11.AnonPages,0.32851469530078065,1.807282478419605e-48,0.27378262968319406,0.5157422926403731
node14_node14.branch-misses,0.2978128470863802,9.838535751753897e-40,0.2200506530666684,0.2871023639832054
node5_node5.MemAvailable,0.33138478492867224,2.466349088977172e-49,0.27525256054442293,0.5161045556896794
node14_node14.socket1.temp,0.10348840771940682,4.168831083399114e-05,0.14536777290467043,0.3559117172601054
node8_node8.branch-misses,0.2820344000751652,1.319654852557292e-35,0.2081535676597644,0.2829503931994483
node8_node8.Active,0.3300216661128216,6.366558346991371e-49,0.27500984731262806,0.5154079605796962
node3_node3.AnonPages,0.3286590255283413,1.6357913102463274e-48,0.27429516044805125,0.5158766424390023
node14_node14.socket0.temp,0.27715277365746027,2.230622880379197e-34,0.28131490818082694,0.53804046553354
node0_node0.MemFree,0.330149959648431,5.824017728163244e-49,0.2755955064589795,0.5164099793429502
node11_node11.MemFree,0.33262273465386616,1.0384569312064507e-49,0.2743587562748672,0.5161476749047043
node2_node2.AnonPages,0.3286109154524877,1.6910753277259802e-48,0.275274530583668,0.5156143219052447
node0_node0.Active,0.3303584366437965,5.038819377234547e-49,0.2749550735385387,0.5164772339662317
node6_node6.MemFree,0.330582950331113,4.310698149403024e-49,0.27466586683588995,0.5162993686038015
node15_node15.branch-misses,0.2985577083866893,6.195256810314684e-40,0.2116540007156567,0.2824337277242825
node1_node1.branch-misses,0.28554334304961326,1.6731197913979524e-36,0.20803532543876183,0.2841862981572821
node5_node5.AnonPages,0.3288675025237066,1.4162793052950755e-48,0.27470675369011166,0.5154551557388172
node12_node12.procs-running,0.2827641811462638,8.608006566683988e-36,0.2559547153585809,0.523698263395063
node4_node4.branch-misses,0.2934542144952502,1.4369133189113477e-38,0.21693628916636298,0.2872355586880181
node12_node12.socket1.temp,0.10404873547495752,3.708747504529271e-05,0.17549014704476604,0.34336138265308436
node5_node5.branch-misses,0.288065407768282,3.7278745719545487e-37,0.21113958698302293,0.28233865364876054
node3_node3.branch-misses,0.28394493439956825,4.3011466087467294e-36,0.2164706220417231,0.2873823438319634
node1_node1.procs-running,0.2770419515079129,2.3770366775598695e-34,0.2516011419258582,0.5231486884379638
node2_node2.procs-running,0.27958987260267,5.473423834022838e-35,0.2682076394366267,0.5323672061761907
node4_node4.procs-running,0.28104395102515434,2.3521833039476488e-35,0.26495320971035385,0.5390129793029805
node2_node2.Active,0.33059898702306423,4.262890176303047e-49,0.27480656953847027,0.5163482166051323
node3_node3.MemFree,0.33088143047037144,3.502326527118373e-49,0.27500757166839546,0.5164115532260504
node2_node2.cache-misses,0.2830971258262762,7.080677988224347e-36,0.30679798908420036,0.4907403639713201
