Feature,KS Statistic,KS p-value,Jensen-Shannon Distance,Wasserstein Distance
node3_node3.AnonPages,0.0911492855653736,0.029921146725470416,0.150347196461855,0.11347896250526986
node3_node3.MemFree,0.08741953589813495,0.04183039884016049,0.1500340792184809,0.11347689539657464
node0_node0.branch-misses,0.06841791619224791,0.18548545725711696,0.14168531300384513,0.12479508708984796
node0_node0.AnonPages,0.08735538913033014,0.042066993840893074,0.14632365865557204,0.11327941650255981
node2_node2.branch-misses,0.06432413361771733,0.24362352092936124,0.11940566098424048,0.12372833693700452
node1_node1.branch-misses,0.061852045480058404,0.28476559651991995,0.12617183190934178,0.12579557886847934
node0_node0.MemFree,0.08749971935789086,0.04153628366933948,0.15187668552908984,0.11327509340883864
node3_node3.MemAvailable,0.08741953589813495,0.04183039884016049,0.15012181821721587,0.11347770449421107
node3_node3.branch-misses,0.07093349583847841,0.15552703955031744,0.13816019972973143,0.1295179486913114
node1_node1.Active,0.08741953589813489,0.0418303988401606,0.15560375076047256,0.11382286723406534
node1_node1.MemFree,0.08746764597398848,0.04165371309465782,0.15091516415716674,0.11382412209915611
node0_node0.Active,0.08735538913033014,0.042066993840893074,0.150866357527591,0.11327497258098365
node2_node2.MemAvailable,0.08782045319691456,0.040377745951467814,0.14698618609837474,0.113948996858174
node2_node2.Active,0.08748368266593964,0.04159496232248505,0.14709373349585453,0.11397364601077213
node2_node2.AnonPages,0.08748368266593964,0.04159496232248505,0.14908269449202274,0.11398056046233725
node1_node1.socket1.temp,0.03147861507128308,0.9594479232131254,0.11967955747356536,0.031430858450296265
node3_node3.Active,0.09114242186121846,0.02993998654178831,0.14945445675792776,0.11347790556328868
node2_node2.Active-anon,0.08748368266593964,0.04159496232248505,0.14711509596197098,0.11397503190005093
node0_node0.socket0.temp,0.05049133216800039,0.5327035187692242,0.12649515175252687,0.07884843766181232
node0_node0.MemAvailable,0.08749971935789086,0.04153628366933948,0.15184154693719798,0.11327691004924166
node0_node0.Active-anon,0.08735538913033014,0.042066993840893074,0.15111739631339463,0.11327631168632116
node2_node2.MemFree,0.08782045319691456,0.040377745951467814,0.14921315476906682,0.11394671213032129
node2_node2.socket0.temp,0.06053459916288467,0.3086192870019481,0.12359656482393007,0.07397152530155125
node1_node1.MemAvailable,0.08746764597398848,0.04165371309465782,0.1507456201447501,0.11382571484470817
node1_node1.Active-anon,0.08741953589813489,0.0418303988401606,0.1511750396782584,0.11382405769814334
node2_node2.socket1.temp,0.01842590246483955,0.9999903312897842,0.1171823884007011,0.022547371341815177
node0_node0.instructions,0.04977192616707021,0.5511605011361265,0.12528102120673443,0.07125568488972578
node2_node2.instructions,0.05228750581330083,0.4877240552352663,0.14555381550751068,0.06447916674619628
node0_node0.socket1.temp,0.02390025177606364,0.9982851789614728,0.10992634511607417,0.029775278682682572
node1_node1.cache-misses,0.057146174447135045,0.376161585091518,0.1199201972927703,0.058586525366589634
node3_node3.PageTables,0.08790063665667047,0.04009254792379846,0.15597080144152237,0.1127649433453237
node3_node3.socket1.temp,0.015433904774123208,0.9999999573967568,0.11403447119384055,0.02449742514104064
node3_node3.socket0.temp,0.05603752585916577,0.4001598228288209,0.10318825127732098,0.06030568038777019
node2_node2.cache-misses,0.061758134611992255,0.28642126920807165,0.13807239534203342,0.06108413890629561
node0_node0.cache-references,0.06981535352887402,0.16832912178568593,0.15012678093758178,0.07748270783127545
node3_node3.cache-misses,0.06636752890613723,0.21309219913742294,0.10926703756478613,0.060436600764786505
node1_node1.instructions,0.05117378963067498,0.5154154658317125,0.16075855384363807,0.06738263819141052
node0_node0.cache-misses,0.06864467501643762,0.1826121065682763,0.11409478521767218,0.05871326601560924
node3_node3.Active-anon,0.09114242186121846,0.02993998654178831,0.14969372167711895,0.11347904191439416
node3_node3.instructions,0.059730455281684525,0.3238437110504908,0.1796812523200182,0.06576598873571397
node3_node3.cache-references,0.06088067097519123,0.30222243738021326,0.13936188323295431,0.07669604099268616
node1_node1.col-idle,0.06773289285886108,0.19438041111639082,0.1872767587209667,0.07351326833637234
node1_node1.socket0.temp,0.06429930881857693,0.2440135256286008,0.1248908798025378,0.07852561765016472
node1_node1.procs-running,0.06013823628461917,0.31606042806094947,0.12862415778808614,0.08268329268505245
node3_node3.socket0.rapl-energy,0.07756530942797119,0.09477690207125178,0.18928501530550185,0.05640349728174674
node1_node1.AnonPages,0.08740349920618373,0.04188943880348739,0.15093234798310629,0.11382684432992698
node3_node3.procs-running,0.05825071764196482,0.35317203029394906,0.14343772165765922,0.07831262955585772
node2_node2.procs-running,0.06722645412704265,0.20116667281241307,0.13192939319889455,0.09133772765978068
node0_node0.PageTables,0.0865307182834325,0.04521388008207916,0.16608669806522322,0.11223932050043144
node1_node1.cache-references,0.06502731048639288,0.2327683277916932,0.14955955124110312,0.08224254304025784
