Source_CSV,Importance
lag_1,0.12160081544861154
lag_2,0.1181514972296066
lag_3,0.10504067074418547
lag_7,0.08785859023420685
lag_6,0.08435247828615325
lag_8,0.07594011113752444
lag_5,0.07451076433647685
lag_4,0.07316414315919703
lag_9,0.0661867311199617
node3.socket1.temp,0.005182360259454424
node2.socket1.temp,0.00433227435027936
node1.socket1.temp,0.004254364367991181
diff_6,0.0041086557111621475
node3.instructions,0.004088766858041274
diff_8,0.003946742459499597
node5.instructions,0.0039014648734006785
node5.socket1.temp,0.003859684932565852
node4.instructions,0.0036038285000970895
node0.AnonPages,0.003593936139616857
node4.socket1.temp,0.0034370324019108206
node0.MemFree,0.003297614550267588
diff_4,0.0032891998621316643
node4.cache-misses,0.0031942095709062853
node1.instructions,0.003171043805069769
node3.branch-misses,0.0030865146228911287
diff_9,0.0030859428164074602
node0.Active,0.0029978350675073312
diff_7,0.002966820970084732
node0.col-system,0.0028283922588695372
node3.socket0.temp,0.002809430215016253
node0.socket0.temp,0.0027600078119835504
node1.branch-misses,0.0026986889011576982
node2.cache-misses,0.0026739802747040037
node5.cache-misses,0.0025545075991152137
node2.branch-misses,0.0025513828313546037
node0.socket1.temp,0.0025330232905993516
node2.instructions,0.0024860399875133387
node4.branch-misses,0.002460043872808046
diff_3,0.002420225100490985
node0.instructions,0.0023821767683086265
node0.MemAvailable,0.002360941001111758
node1.cache-misses,0.002339791572601948
node0.branch-misses,0.0023297820814361415
diff_5,0.002257608980529794
node4.col-system,0.002185856870229918
node0.Active-anon,0.002161140844712225
node2.col-system,0.0020010309524557076
node5.AnonPages,0.0019734253959259943
node4.AnonPages,0.0019371652067584452
node5.MemFree,0.0019211733410529404
node0.cache-misses,0.0018948885001278668
node5.col-system,0.0018745871388854357
node0.PageTables,0.001773408621686413
node4.Active,0.001737336937005688
node3.Active-anon,0.0017216622216081605
node1.PageTables,0.0016106318646413281
node1.MemFree,0.0015655929755191956
node1.Active-anon,0.001557646585025599
node1.col-system,0.001542688390933117
node1.MemAvailable,0.0015286482299386285
node2.socket0.temp,0.001481331384661356
node2.MemAvailable,0.0014681136607627445
node3.cache-misses,0.001391469397102733
node3.col-system,0.0013379354234548905
node4.Active-anon,0.001262336039852398
node3.MemFree,0.0012593431304418667
node1.socket0.temp,0.0012299559377257263
node5.branch-misses,0.0012227448183137176
diff_2,0.0012080173837129284
node2.AnonPages,0.0011763668578785268
node3.Active,0.0011324781525074443
node2.PageTables,0.0011306251934946653
node5.Active,0.0011187550579532491
node5.socket0.temp,0.001084410817053533
node3.MemAvailable,0.001063596004408028
node5.Active-anon,0.0010332617597708191
node4.socket0.temp,0.0010122815444632849
node1.cache-references,0.0009293546342653217
node3.PageTables,0.0009232306768800276
node1.Active,0.0009165443669972572
node1.AnonPages,0.0009144775410386461
node5.cache-references,0.0008751469619468217
node2.Active-anon,0.0008480992547388313
node4.MemAvailable,0.0008440749274349808
node5.MemAvailable,0.0007988214699599353
node3.AnonPages,0.0007802355928153142
node2.Active,0.0007742145129817319
diff_1,0.000742069968011975
node1.intr,0.0007088074000444437
node2.cache-references,0.0006846193482491571
node3.cache-references,0.0006582761187516672
node2.MemFree,0.0006091614183438157
node2.intr,0.0005925602039109366
node0.col-user,0.0005894328340839524
node2.branch-instructions,0.0005511706446920394
node1.softirq,0.0005509850605843164
node1.KernelStack,0.0005509515471277358
node2.KernelStack,0.0005385983342853158
node4.cache-references,0.0005299202188142195
node4.MemFree,0.0005051554477564079
node3.col-idle,0.0004918234247579527
node4.PageTables,0.0004907866604217195
node1.col-idle,0.0004768833431047064
node0.cache-references,0.00046884595512177514
node4.intr,0.0004647737500153872
node0.branch-instructions,0.000452945562887274
node3.branch-instructions,0.00045190904968652287
node0.softirq,0.00044987739801877625
node4.softirq,0.0004321372762724048
node0.col-idle,0.00043143977610069336
node5.branch-instructions,0.0004200418112498163
node3.intr,0.0004050945839244873
node1.pgfree,0.00040494946954607264
node2.cpu-cycles,0.00040228574406138347
node5.PageTables,0.0003961347443950617
node4.thp_fault_alloc,0.00037204311104946483
node0.intr,0.00036129095118270503
node3.softirq,0.00035916550047039965
node2.Active-file,0.00033282587074237217
node3.numa_local,0.0003218107573966182
node2.col-idle,0.0003013248328750926
node1.cpu-cycles,0.00028553761668342404
node5.col-user,0.0002764981195564021
node3.socket0.rapl-energy,0.00026717303218757736
node3.KernelStack,0.0002642240573638223
node5.thp_fault_alloc,0.00026034168963647036
node0.pgfree,0.00023865935861825934
node1.col-user,0.00023477612660837793
node5.pgfree,0.00022759865597998919
node1.branch-instructions,0.00022739011585530083
node2.col-user,0.00022398138718462122
node1.Inactive-anon,0.0002230704146935697
node3.pgfree,0.0002206492659884144
node2.softirq,0.00021891626969412737
node4.col-user,0.00021384316245846508
node2.pgfault,0.00021233938944706943
node1.numa_local,0.00021143671103068505
node5.cpu-cycles,0.00020987321932119176
node1.ref-cycles,0.00020901698308702053
node5.col-idle,0.0001990629087019749
node2.numa_hit,0.00019552847378527096
node5.intr,0.0001923869052389845
node3.col-user,0.00017279219007338437
node4.pgfault,0.00016299597251752458
node1.procs-running,0.00016189209871825413
node0.thp_fault_alloc,0.00015266546030777198
node4.branch-instructions,0.0001357247107325238
node3.ref-cycles,0.0001335059801894894
node4.Active-file,0.00012599830502581447
node4.pgfree,0.00012025639038489041
node5.softirq,0.00011643610458761257
node1.thp_fault_alloc,0.00011201586176468463
node3.cpu-cycles,0.00011154139710912761
node5.socket0.rapl-energy,0.00011050535374548934
node4.col-idle,0.00010349264530980024
node1.pgfault,0.00010281506251860205
node0.procs-running,0.00010202514315255998
node5.pgfault,9.858780723565826e-05
node2.thp_fault_alloc,9.670717875988794e-05
node3.thp_fault_alloc,8.229998355143155e-05
node0.socket1.rapl-energy,7.835959813009371e-05
node0.pgfault,6.785756365621762e-05
node1.Cached,6.759657094591653e-05
node4.cpu-cycles,5.958042834885708e-05
node3.numa_interleave,5.908451674668257e-05
node1.Inactive,5.771143565508251e-05
node4.Inactive,5.153954267342914e-05
node0.KernelStack,4.8845267856344165e-05
node0.cpu-cycles,4.87887612770083e-05
node5.KernelStack,4.878288914750774e-05
node3.Inactive-anon,4.8678561330020847e-05
node4.ref-cycles,4.544085635029479e-05
node2.Inactive-anon,4.289976771286748e-05
node3.numa_hit,4.198756300647698e-05
node2.pgfree,4.050801329276427e-05
node2.socket0.rapl-energy,3.9446889478259305e-05
node3.Inactive,3.473774847414678e-05
node4.Inactive-anon,3.447342686020783e-05
node3.procs-running,3.4356541728061574e-05
node5.Inactive,3.2653223365332626e-05
node4.KernelStack,3.130673179402456e-05
node2.Inactive,2.9359056149396616e-05
node1.numa_hit,2.8342242958505146e-05
node3.pgfault,2.8227301560400416e-05
node3.Cached,2.8003657458966744e-05
node0.Inactive-anon,2.20523068821141e-05
node0.Inactive,2.1402532284994177e-05
node0.numa_interleave,2.0470654072028278e-05
node4.numa_hit,2.0226956810401436e-05
node0.numa_local,2.0170043685738622e-05
node4.socket1.rapl-energy,1.887984681274961e-05
node0.ref-cycles,1.8242206676139533e-05
node2.ctxt,1.65076634278856e-05
node2.ref-cycles,1.5043438577881923e-05
node5.procs-running,1.4304075907453661e-05
node1.socket0.rapl-energy,1.4251111648892674e-05
node0.col-iowait,1.4153436027200761e-05
node4.Cached,1.3080172938300126e-05
node2.col-iowait,1.2831863101682687e-05
node5.Active-file,1.271643614155305e-05
node0.ctxt,1.1943378414812285e-05
node5.Inactive-anon,1.1256718660112276e-05
node0.Cached,1.0417875954338795e-05
node1.processes,1.0166155685231233e-05
node0.numa_hit,9.526454196531378e-06
node2.thp_split,9.381803962728946e-06
node1.ctxt,9.358947447449748e-06
node2.procs-running,8.877878580090377e-06
node0.thp_split,8.214306328920815e-06
node1.numa_interleave,7.799362839752277e-06
node4.col-iowait,7.561084555793091e-06
node5.col-iowait,7.2783197773955715e-06
node0.Active-file,6.682414649699532e-06
node1.thp_split,6.292664585549598e-06
node3.col-iowait,6.210907379620327e-06
node5.thp_split,6.1882816696715625e-06
node1.col-iowait,6.179798532852008e-06
node0.socket0.rapl-energy,6.14683323917868e-06
node2.processes,5.927762213303014e-06
node3.Inactive-file,5.517931442770069e-06
node3.processes,4.665701428495331e-06
node0.processes,4.591258666489852e-06
node3.thp_split,4.259728817701031e-06
node4.procs-running,3.8183551275697755e-06
node5.ctxt,3.7112201728747018e-06
node5.ref-cycles,3.649054618448153e-06
node5.Cached,3.6085818790694005e-06
node4.numa_local,3.2697291618255158e-06
node0.Inactive-file,3.0408864407195802e-06
node4.processes,2.884249158596336e-06
node2.Cached,2.70789825141943e-06
node4.Inactive-file,2.5602793381980233e-06
node3.ctxt,2.3636185433589164e-06
node4.ctxt,2.3332100132402653e-06
node3.Active-file,2.202145684197247e-06
node4.socket0.rapl-energy,2.2000787052201626e-06
node2.socket1.rapl-energy,2.132823778101293e-06
node5.socket1.rapl-energy,1.998388832611194e-06
node5.processes,1.884664075718717e-06
node4.thp_collapse_alloc,1.8838673228667742e-06
node5.Inactive-file,1.848027527885255e-06
node2.numa_local,1.8267221962337356e-06
node5.numa_local,1.787073326501638e-06
node2.numa_interleave,1.762305480094425e-06
node2.Inactive-file,1.655736039001604e-06
node4.numa_interleave,1.5327218505917313e-06
node0.opaif1.portXmitPkts,1.5111858593672283e-06
node1.socket1.rapl-energy,1.4596151023573085e-06
node5.numa_hit,1.4446608707780597e-06
node4.thp_split,1.4152806018134657e-06
node3.socket1.rapl-energy,1.2579829835187019e-06
node3.thp_collapse_alloc,1.081389670148699e-06
node1.Inactive-file,8.547480400335582e-07
node2.opaif1.portRcvData,8.127332189429456e-07
node0.opaif1.portMulticastXmitPkts,6.835693065936069e-07
node0.opaif1.portXmitData,6.592596799968856e-07
node2.opaif1.portMulticastXmitPkts,4.2876727215822813e-07
node4.opaif1.portMulticastXmitPkts,3.964487937780279e-07
node4.opaif1.portRcvData,3.5579350969316963e-07
node5.numa_interleave,3.526941497831384e-07
node1.opaif1.portMulticastXmitPkts,3.3483754851028166e-07
node3.opaif1.portXmitData,3.273196114379514e-07
node1.opaif1.portXmitPkts,3.2469049400275283e-07
node3.opaif1.portMulticastXmitPkts,3.238101759767047e-07
node2.thp_collapse_alloc,3.223938878745232e-07
node1.Active-file,3.091930389019503e-07
node4.opaif1.portXmitPkts,2.978341841586622e-07
node0.opaif1.portRcvPkts,2.833123919972384e-07
node1.opaif1.portXmitData,2.6496290760175076e-07
node3.opaif1.portRcvData,2.3476716659258596e-07
node0.opaif1.portRcvData,2.0256836166620624e-07
node1.opaif1.portRcvData,1.728343046597524e-07
node4.opaif1.portRcvPkts,1.4530424839396335e-07
node2.opaif1.portRcvPkts,1.3939489308642822e-07
node2.opaif1.portXmitPkts,1.1968117322060877e-07
node2.opaif1.portXmitData,1.1100118359999608e-07
node4.opaif1.portXmitData,1.0634858081326732e-07
node5.opaif1.portMulticastXmitPkts,9.169775934528843e-08
node5.opaif1.portXmitData,8.83661138112305e-08
node3.opaif1.portXmitPkts,6.494072407093937e-08
node5.opaif1.portXmitPkts,5.285553062101782e-08
node4.socket1.rapl-power,4.549841568813423e-08
node2.socket0.rapl-power,1.2837726930119138e-08
node5.opaif1.portRcvPkts,1.1076310934746795e-08
